ID,Name,ScreenName,Avatar,Description,Location,FriendsCount,FollowersCount,FavouritesCount,StatusesCount,CreatedAt
14312109,tom.base.eth,neodaoist,https://pbs.twimg.com/profile_images/1884701738705313792/LQVCv2Vn_normal.png,Head of Product @base // classical composooor ䷏ Directed opportunism x Things occurring of themselves,onchain,4771,3841,19079,2197,2008-04-06 03:56:15
432127300,Daniel Schlabach,DMSchlabach,https://pbs.twimg.com/profile_images/1846585209484910592/D6MOh-8K_normal.jpg,@coinbase @base,"New York, NY",787,1110,16417,1891,2011-12-09 10:23:50
1444011503275810822,Build on Base,buildonbase,https://pbs.twimg.com/profile_images/1892371874119897090/eFCZLq3K_normal.jpg,What will you build?,onchain,41,522549,1031,205,2021-10-02 02:49:26
1446932149148344320,Clown World ™ 🤡,ClownWorld_,https://pbs.twimg.com/profile_images/1905605322653532162/dNgJ86wq_normal.jpg,Official #ClownWorld ™ 🤡 #NoCaptionNeeded ** DM us for removals/credit,DM Submissions 📧 ,963,3019455,25604,30682,2021-10-10 04:14:52
24376702,Rui,OITOO,https://pbs.twimg.com/profile_images/1848279875183943682/_Tz1rw9H_normal.jpg,• Two Decades of Entrepreneurship 🏋🏻‍♂️ • PM 🧠  • Advisory Board Member 📖 • Ambassador: @themiracle_io  • Founder: @Memeland_Europe 🏴‍☠️,London,2606,13143,102575,48094,2009-03-14 22:43:37
1052486479,Shiftwithai,melisipek7,https://pbs.twimg.com/profile_images/1725547749041373185/EPdT7Scv_normal.jpg,AI Lover,"Toronto, Ontario",1490,149,2867,1191,2013-01-01 20:20:46
16193871,alessey,alessey,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,"Oakland, CA",33,18,4,11,2008-09-09 07:11:55
260383609,Brock MillΞr 🛡,bmil__,https://pbs.twimg.com/profile_images/1811393927422885888/ZSHWEBAM_normal.png,Verified Pools & Onchain Markets @Coinbase. 🛠️ Builder and investor. Views are mine.,,2291,1916,14060,1739,2011-03-04 03:47:49
1266028765639069696,jacky (:,Jhuang0804,https://pbs.twimg.com/profile_images/1875329474348089344/1V9wnQtI_normal.jpg,researcher & hard launcher⋆☁︎｡| he/him,jacky.base.eth🧚🏼‍♂️🌈✨,652,3250,34644,4222,2020-05-28 23:29:18
1802811033075302400,Alissa Crane,abcrane123,https://pbs.twimg.com/profile_images/1823405435451482112/gCpIYR1U_normal.jpg,engineering @coinbase,,25,87,7,5,2024-06-18 05:10:24
1418349199972765701,Ethereum Attestation Service,eas_eth,https://pbs.twimg.com/profile_images/1593335725751083008/0XMyDyLq_normal.png,"Infra public good for attesting. Structure and sign any data onchain or offchain about anything. e.g. ""alice.eth attests this {data} is valid.""",the world computer,79,8096,2024,1196,2021-07-23 07:17:03
248459532,wilson.base.eth,WilsonCusack,https://pbs.twimg.com/profile_images/1736440090795163648/5B8OVg6X_normal.png,"Workin, on Base",,1764,12204,24688,15568,2011-02-07 09:44:00
14379660,Brian Armstrong,brian_armstrong,https://pbs.twimg.com/profile_images/1516832438818770944/n77EwnKU_normal.png,Co-founder & CEO at @Coinbase. Creating more economic freedom in the world. ENS: barmstrong.eth Co-founder @researchhub @newlimit,Earth,754,1539795,8344,3747,2008-04-14 09:10:52
120022929,kate.base.eth,gozdeaksay,https://pbs.twimg.com/profile_images/1879144288455426048/DFa5_b4v_normal.jpg,Senior Engineering Manager @coinbase. Building @base developer tools,"Miami, FL",637,2023,6439,803,2010-03-05 15:26:39
1440103863407849477,wevm,wevm_dev,https://pbs.twimg.com/profile_images/1728474882202017792/eupvsUtm_normal.jpg,TypeScript tooling for Ethereum https://t.co/fkYgOnCYXJ . https://t.co/B3RI1lwPlG . https://t.co/Kk7aO6CsR3 . https://t.co/PG6Rv3CbYw . https://t.co/I2quKMpZ3w,,0,7270,938,629,2021-09-21 08:03:29
1467322621301825536,paul.base.eth,PaulCramer_,https://pbs.twimg.com/profile_images/1886834246150709250/GgcNVaYJ_normal.jpg,@base engineer | building https://t.co/8hZPqnOBe2,San Francisco,593,3222,12026,2042,2021-12-05 10:39:21
3002839981,alec.base.eth,0xAlec,https://pbs.twimg.com/profile_images/1817186415349743616/IIL75wZ5_normal.jpg,engineering @base,nyc,2533,3285,8972,1432,2015-01-30 12:28:59
3238014769,paprika,spicypaprika_,https://pbs.twimg.com/profile_images/1879640738935250944/X5nnVwc__normal.jpg,design @base 👽🛸 prev co-founder @0xstation (acq.),npm create onchain,709,1917,11598,753,2015-06-06 22:43:39
423031353,Shelley.base.eth,hey_shells,https://pbs.twimg.com/profile_images/1868360433406545920/EKrTnwU0_normal.jpg,Design @Base. Constantly trying to expand my worldview.,"Brooklyn, NY",1201,1051,3240,469,2011-11-28 08:28:42
18876842,jesse.base.eth,jessepollak,https://pbs.twimg.com/profile_images/1879556312822120448/QngrqCSC_normal.jpg,@base builder #001 @oakcurrency with @0xcity3,east bay & the internet,3371,217206,123295,36985,2009-01-12 03:36:50
239256244,Tina He,fkpxls,https://pbs.twimg.com/profile_images/1892589615732645888/1T9g7ap0_normal.jpg,sovereign minds,localhost:3000,895,14348,29619,2528,2011-01-17 13:39:19
1374418187047952399,Coinbase Developer Platform🛡️,CoinbaseDev,https://pbs.twimg.com/profile_images/1699840336854470656/zspjRkjZ_normal.jpg,"Powering a global community of developers building the future onchain. 
We're hiring: https://t.co/sOI4D5Xs0p",Remote first,96,41880,1642,2227,2021-03-24 01:51:12
574032254,Coinbase 🛡️,coinbase,https://pbs.twimg.com/profile_images/1484586799921909764/A9yYenz3_normal.png,"The most trusted crypto exchange.

For support ➡️ @CoinbaseSupport",Remote First,31,6467472,2602,7039,2012-05-08 07:06:31
1628067904083181570,Base,base,https://pbs.twimg.com/profile_images/1840800810571350019/1pCjLY5q_normal.jpg,"Bringing the world onchain to create a global economy. Built on Ethereum, built on the Superchain. We have no plans to issue a new network token.",Onchain,590,935361,4347,5192,2023-02-22 00:26:04
44196397,Elon Musk,elonmusk,https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,,,1106,218926126,140446,76766,2009-06-03 04:12:29
